,Bitcoin Price,Ethereum Price,BTC price percent diff,Ethereum price percent diff,Ethereum dropped more
2013-05-05,116.79,,-13.680709534368074,,False
2013-06-09,108.401,,-10.633965375103049,,False
2013-06-30,95.3886,,-11.059580419580428,,False
2013-07-07,68.0831,,-28.625538062200295,,False
2013-09-08,121.77,,-11.869436201780415,,False
2013-12-08,743.11,,-28.090072479896268,,False
2013-12-22,650.27,,-23.91121200065527,,False
2014-02-09,672.07,,-19.648258629141203,,False
2014-03-30,469.938,,-17.232232963882076,,False
2014-04-27,437.9216,,-11.943290978784782,,False
2014-06-15,583.41,,-10.230569921478484,,False
2014-08-17,494.7813,,-15.92508168343738,,False
2014-09-21,396.62,,-16.46500068450595,,False
2014-10-05,325.1099999999999,,-13.531998825496938,,False
2015-01-04,260.936,,-17.553421740270657,,False
2015-01-18,208.9892,,-21.780795257201035,,False
2015-02-01,226.2697,,-10.860904297962183,,False
2015-07-19,272.806179588859,,-12.052353584884013,,False
2015-08-23,227.2453999999999,1.355182100454404,-11.857457921508363,-8.223253231679163,False
2015-11-15,320.484,0.9108255481961639,-13.732900495825096,-11.613199650869943,False
2016-01-17,386.3560000000001,1.321855711753408,-13.606897924227434,29.598035452024728,False
2016-06-26,629.3059999999999,13.845029961871877,-17.635063857411726,13.20004452073944,False
2017-03-19,1023.4901008756748,44.08879749579081,-16.827289943141754,90.87011428203023,False
2017-06-18,2577.21936114026,359.4387121135216,-14.483606202411792,5.382632254132358,False
2017-07-16,1927.09906562122,156.46899162898947,-23.50405837026924,-34.46443498151517,True
2017-09-10,4132.6646422833,292.7796567856866,-10.78902865899235,-16.331754266494556,True
2017-09-17,3553.43231625865,249.66654597502836,-14.015952809193433,-14.725446188434066,True
2017-11-12,5866.51312938529,314.1661277072687,-20.896694022388175,5.595910997126641,False
2017-12-24,14451.1145466743,686.208308919806,-25.600149752750678,-5.831224758386966,False
2018-01-14,14476.5889713691,1410.0002145085193,-15.042863318351474,23.939183235283636,False
2018-01-21,11703.5048628599,1053.6332024800395,-19.1556458085094,-25.274252327167048,True
2018-02-04,8994.91486607664,941.8032295185238,-22.89432067380708,-23.88387393514111,True
2018-02-25,9742.62819006538,828.7233989886703,-11.484146053923073,-14.057493655607345,True
2018-03-11,8890.86580399612,684.934340074043,-21.7080553607098,-18.871178210587182,False
2018-04-01,6975.27531402076,395.79638095782116,-19.091134326465486,-23.809941780893386,True
2018-05-13,8480.58037612559,683.1702676131072,-13.164365394226806,-15.351514932341626,True
2018-05-27,7328.87167436352,580.4834597869499,-10.411858828404341,-15.362512628480228,True
2018-06-17,6478.81592433021,493.0678580653148,-12.625560083676458,-15.152326930649496,True
2018-08-05,7009.012011793916,406.8839911959127,-14.442188623906361,-12.666939487402429,False
2018-08-12,6205.218479944854,317.3144774285816,-11.468000489891239,-22.013526141460748,True
2018-09-09,6181.19445075213,196.8653868522827,-14.28425516493419,-33.41182389137028,True
2018-11-18,5599.1915956893035,175.6674163561008,-12.919444352823762,-17.51380110730111,True
2018-11-25,3895.8368129589876,114.28793125942474,-30.421441267373172,-34.94073424080641,True
2018-12-09,3424.7058606626006,90.67825609691094,-18.256462223873406,-23.219582298616825,True
2019-07-28,9447.678401413306,206.531772895918,-12.312679790643354,-9.797589318871259,False
2019-09-29,8225.11037185192,174.07970541243265,-17.72585859891066,-19.16250123193143,True
2019-11-24,7309.689243566324,151.96608493452732,-13.96698523718558,-16.79048315676632,True
2020-03-01,8552.989118581636,218.34835692985286,-11.446961736627614,-16.340516690443707,True
2020-03-15,5214.189112383918,123.030844108903,-41.42809676070397,-48.17152474542935,True
2020-09-06,10177.789718049991,334.46859301354317,-11.354737352973332,-16.251899832526284,True
2021-01-17,36254.713079410845,1234.6318700828049,-10.030183800779602,-3.768392448854574,False
2021-01-24,32068.08737440817,1231.176379704471,-11.547810889669607,-0.2798802187167104,False
2021-02-28,46653.52639939581,1480.1295768477528,-17.248164704047397,-23.28421470359571,True
