Date,price_BTC,price_ETH,BTC 1W change percent,ETH 1W change percent,ETH dropped more
2016-06-26,629.3059999999999,13.845029961871877,-21.41,11.66,False
2017-03-19,1023.4901008756748,44.08879749579081,-20.23,47.61,False
2017-07-16,1927.09906562122,156.46899162898947,-30.73,-52.59,True
2017-11-12,5866.51312938529,314.1661277072687,-26.42,5.3,False
2017-12-24,14451.1145466743,686.208308919806,-34.41,-6.19,False
2018-01-21,11703.5048628599,1053.6332024800395,-23.69,-33.82,True
2018-02-04,8994.91486607664,941.8032295185238,-29.69,-31.38,True
2018-03-11,8890.86580399612,684.934340074043,-27.73,-23.26,False
2018-04-01,6975.27531402076,395.79638095782116,-23.6,-31.25,True
2018-11-25,3895.8368129589876,114.28793125942474,-43.72,-53.71,True
2018-12-09,3424.7058606626006,90.67825609691094,-22.33,-30.24,True
2019-09-29,8225.11037185192,174.07970541243265,-21.54,-23.7,True
2020-03-15,5214.189112383918,123.030844108903,-70.73,-92.94,True
2021-02-28,46653.52639939581,1480.1295768477528,-20.84,-30.35,True
