Date,price_BTC,price_LINK,BTC 1W change percent,LINK 1W change percent,LINK dropped more
2017-12-24,14451.1145466743,0.571485769080935,-34.41,24.14,False
2018-01-21,11703.5048628599,0.9072286703188935,-23.69,-17.3,False
2018-02-04,8994.91486607664,0.5089050879648738,-29.69,-49.72,True
2018-03-11,8890.86580399612,0.4722983362870366,-27.73,-31.84,True
2018-04-01,6975.27531402076,0.2813859966712322,-23.6,-49.3,True
2018-11-25,3895.8368129589876,0.2900826248538034,-43.72,-69.71,True
2018-12-09,3424.7058606626006,0.22235592173295726,-22.33,-42.12,True
2019-09-29,8225.11037185192,1.6837697695437375,-21.54,-11.48,False
2020-03-15,5214.189112383918,2.1294755948791324,-70.73,-104.17,True
2021-02-28,46653.52639939581,26.39261542619333,-20.84,-29.71,True
